images;title;url;description
1.png;My To-Do Application	;https://github.com/pradivGnanaraj/00_todo_desktop_app_PYTHON	;I created a versatile To-Do application that offers users multiple ways to manage their tasks efficiently. This project showcases my proficiency in Python programming, user interface design, and data management. The application features a command-line interface (CLI), a graphical user interface (GUI) using PySimpleGUI, and a web-based interface using Streamlit.
2.png;Portfolio Web Application	;https://github.com/pradivGnanaraj/00_1_app2_Portfolio_PYTHON	;This project serves as a showcase of my skills, creativity, and dedication to the world of technology. Through this application, I aim to introduce myself, share a collection of Python projects, and offer a means of direct communication.
3.png;PDF Generation Script	;https://github.com/pradivGnanaraj/00_3_convert_to_PDF_documents_PYTHON	;This project highlights the power of automation and creativity by using Python's fpdf library to generate stunning PDF documents from CSV data. With this script, I aim to demonstrate how data can be transformed into elegant and organized visual documents.
4.png;Invoice to PDF conversion script	;https://github.com/pradivGnanaraj/00_3_pdf_invoice_genertor_PYTHON	;This endeavor showcases the power of automation and innovation in the world of finance and documentation. With this script, I've harnessed the capabilities of Python to effortlessly convert Excel invoices into visually organized PDF documents.
5.png;News Email Sender	;https://github.com/pradivGnanaraj/00_5_Daily_News_API_PYTHON	;This initiative brings the latest news updates directly to your email inbox. With this Python-powered script, you can effortlessly receive a curated list of news articles on your chosen topic, all neatly compiled and delivered to you via email.
7.png;Weather Data API web application	;https://github.com/pradivGnanaraj/00_6_WeatherData_API_PYTHON	;The Weather Data API Web Application is a Flask-powered project that offers a user-friendly interface to access and visualize weather data from various stations. This application provides a seamless experience for retrieving weather information for specific dates, years, and stations through API endpoints.
8.png;Weather Forecast Web Application	;https://github.com/pradivGnanaraj/00_7_Weather_data_dashboard_PYTHON	;The Weather Forecast Web Application is a user-friendly interface built using Streamlit and Python. This application empowers users to access weather forecasts for specific locations, providing insights into temperature and sky conditions for the upcoming days.
9.png;Sentiment Analysis for Book	;https://github.com/pradivGnanaraj/00_08_Books_NLP_PYTHON	;The "Sentiment Analysis for Book Text" project is a Python script that performs sentiment analysis on a sample book text using the Natural Language Toolkit (NLTK) library. The script processes the book's content, analyzes the sentiment of each chapter, and identifies the most positive and negative chapters based on sentiment polarity. This project showcases the application of NLTK's powerful tools for text analysis, including regular expressions, stopword removal, and sentiment scoring.
10.png;Motion Detection and Email Notification System	;https://github.com/pradivGnanaraj/00_09_Webcam_email_OPENCV_PYTHON	;The "Motion Detection and Email Notification System" is a Python project that demonstrates real-time motion detection using a webcam and sends email notifications when motion is detected. The system captures video frames, analyzes them for changes indicating motion, captures images of detected motion, and sends email notifications along with the captured images. This project showcases the integration of computer vision and email communication to create a practical application for security and monitoring purposes.
1.png;Web Scrapper	;https://github.com/pradivGnanaraj/00_10_web_scrapper_SQLITE	;The provided script, “main.py" in this project, is a versatile tool that combines web scraping, data extraction, and email notification functionalities. This script is designed to monitor a website for upcoming tour events, extract relevant information using specified CSS selectors, store the extracted data in an SQLite database, and notify users via email about new events.
2.png;Hotel Reservation System	;https://github.com/pradivGnanaraj/00_11_hotel_booking_PYTHON	;In this portfolio project, I developed a simple Hotel Reservation System using Python. The project aims to simulate a basic reservation process, allowing users to book hotels, generate reservation tickets, and validate credit card information for payments.
3.png;Super Mario Implementation in Python	;https://github.com/pradivGnanaraj/00_12_super_mario_game_PYTHON	;This project showcases my implementation of the classic Super Mario game using Python and the Pygame library. Inspired by Meth-Meth-Method's game, the project offers a simplified version of the popular game, featuring character controls, multiple levels, sound effects, and more.
4.png;Student Management System (SQLite) PyQt6	;https://github.com/pradivGnanaraj/00_13_SQLite_management_system_python	;In this portfolio project, I present two interactive applications developed using Python and the PyQt6 library. These applications demonstrate my proficiency in creating user-friendly graphical interfaces and handling real-world scenarios. The project includes a Student Management System and an Age Calculator, each showcasing distinct functionalities.
